54.08;54.2;0;1
54.4;54.52;0;1
54.72;54.84;0;1
55.08;55.2;0;1
55.48;55.6;0;1
61.56;61.68;0;1
62;62.12;0;1
62.32;62.44;0;1
62.72;62.84;0;1
63.08;63.2;0;1
70.96;71.08;0;1
71.76;71.88;0;1
72.56;72.68;0;1
73.24;73.36;0;1
73.96;74.08;0;1
80.28;80.4;0;1
80.68;80.8;0;1
81.08;81.2;0;1
81.48;81.6;0;1
81.92;82.04;0;1
87.52;87.64;0;1
87.84;87.96;0;1
88.24;88.36;0;1
88.6;88.72;0;1
89.04;89.16;0;1
95.6;95.72;0;1
95.88;96;0;1
96.12;96.24;0;1
96.4;96.52;0;1
96.72;96.84;0;1
102.28;102.4;0;1
102.72;102.84;0;1
103.12;103.24;0;1
103.6;103.72;0;1
104.04;104.16;0;1
109.6;109.72;0;1
110;110.12;0;1
110.4;110.52;0;1
110.84;110.96;0;1
111.2;111.32;0;1
118.92;119.04;0;1
119.32;119.44;0;1
119.72;119.84;0;1
120.16;120.28;0;1
120.76;120.88;0;1
127.12;127.24;0;1
127.52;127.64;0;1
127.88;128;0;1
128.24;128.36;0;1
128.64;128.76;0;1
135;135.12;0;1
135.6;135.72;0;1
136.28;136.4;0;1
136.96;137.08;0;1
137.68;137.8;0;1
144.64;144.76;0;1
144.96;145.08;0;1
145.32;145.44;0;1
145.68;145.8;0;1
146.04;146.16;0;1
151.72;151.84;0;1
152.08;152.2;0;1
152.44;152.56;0;1
152.76;152.88;0;1
153.12;153.24;0;1
161;161.12;0;1
161.16;161.28;0;1
161.36;161.48;0;1
161.52;161.64;0;1
161.76;161.88;0;1
168.48;168.6;0;1
168.96;169.08;0;1
169.48;169.6;0;1
170;170.12;0;1
170.52;170.64;0;1
176.92;177.04;0;1
177.56;177.68;0;1
178.24;178.36;0;1
178.84;178.96;0;1
179.56;179.68;0;1
185.12;185.24;0;1
185.64;185.76;0;1
186.12;186.24;0;1
186.68;186.8;0;1
187.2;187.32;0;1
193.08;193.2;0;1
193.44;193.56;0;1
193.84;193.96;0;1
194.24;194.36;0;1
194.64;194.76;0;1
199.68;199.8;0;1
200.16;200.28;0;1
200.56;200.68;0;1
201.04;201.16;0;1
201.52;201.64;0;1
206.36;206.48;0;1
206.76;206.88;0;1
207.16;207.28;0;1
207.6;207.72;0;1
208;208.12;0;1
216.96;217.08;0;1
217.32;217.44;0;1
217.68;217.8;0;1
218.04;218.16;0;1
218.44;218.56;0;1
224.52;224.64;0;1
224.84;224.96;0;1
225.2;225.32;0;1
225.6;225.72;0;1
225.88;226;0;1
233.6;233.72;0;1
233.92;234.04;0;1
234.28;234.4;0;1
234.64;234.76;0;1
235;235.12;0;1
243.8;243.92;0;1
244.12;244.24;0;1
244.48;244.6;0;1
244.8;244.92;0;1
245.12;245.24;0;1
253.84;253.96;0;1
254.16;254.28;0;1
254.48;254.6;0;1
